team1,team2,t1Form,t2Form,winner
Chennai Super Kings,Sunrisers Hyderabad,2,3,Sunrisers Hyderabad
Delhi Capitals,Sunrisers Hyderabad,0,3,Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,3,3,Punjab Kings
Royal Challengers Bangalore,Sunrisers Hyderabad,2,3,Sunrisers Hyderabad
Punjab Kings,Chennai Super Kings,3,2,Chennai Super Kings
Mumbai Indians,Chennai Super Kings,2,3,Chennai Super Kings
Mumbai Indians,Chennai Super Kings,3,2,Mumbai Indians
Mumbai Indians,Chennai Super Kings,3,2,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,2,3,Chennai Super Kings
Sunrisers Hyderabad,Chennai Super Kings,4,2,Sunrisers Hyderabad
Chennai Super Kings,Delhi Capitals,2,0,Chennai Super Kings
Chennai Super Kings,Delhi Capitals,2,1,Delhi Capitals
Punjab Kings,Delhi Capitals,3,2,Delhi Capitals
Punjab Kings,Delhi Capitals,2,3,Delhi Capitals
Kolkata Knight Riders,Delhi Capitals,5,3,Kolkata Knight Riders
Rajasthan Royals,Delhi Capitals,4,3,Rajasthan Royals
Sunrisers Hyderabad,Delhi Capitals,4,2,Sunrisers Hyderabad
Chennai Super Kings,Punjab Kings,3,1,Chennai Super Kings
Mumbai Indians,Punjab Kings,3,0,Mumbai Indians
Rajasthan Royals,Punjab Kings,3,1,Punjab Kings
Rajasthan Royals,Punjab Kings,3,1,Rajasthan Royals
Royal Challengers Bangalore,Punjab Kings,3,1,Royal Challengers Bangalore
Sunrisers Hyderabad,Punjab Kings,4,1,Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,5,1,Sunrisers Hyderabad
Chennai Super Kings,Kolkata Knight Riders,3,4,Chennai Super Kings
Chennai Super Kings,Kolkata Knight Riders,3,4,Kolkata Knight Riders
Delhi Capitals,Kolkata Knight Riders,1,4,Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,0,4,Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,0,4,Kolkata Knight Riders
Mumbai Indians,Kolkata Knight Riders,3,5,Kolkata Knight Riders
Mumbai Indians,Kolkata Knight Riders,4,4,Mumbai Indians
Rajasthan Royals,Kolkata Knight Riders,3,3,Rajasthan Royals
Sunrisers Hyderabad,Kolkata Knight Riders,5,2,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,2,4,Mumbai Indians
Delhi Capitals,Mumbai Indians,1,3,Delhi Capitals
Delhi Capitals,Mumbai Indians,1,3,Mumbai Indians
Punjab Kings,Mumbai Indians,1,3,Punjab Kings
Royal Challengers Bangalore,Mumbai Indians,3,2,Royal Challengers Bangalore
Sunrisers Hyderabad,Mumbai Indians,4,2,Mumbai Indians
Chennai Super Kings,Rajasthan Royals,3,3,Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,2,3,Rajasthan Royals
Delhi Capitals,Rajasthan Royals,1,4,Rajasthan Royals
Mumbai Indians,Rajasthan Royals,3,3,Mumbai Indians
Mumbai Indians,Rajasthan Royals,2,3,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,3,3,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,3,2,Royal Challengers Bangalore
Sunrisers Hyderabad,Rajasthan Royals,3,2,Rajasthan Royals
Sunrisers Hyderabad,Rajasthan Royals,3,2,Sunrisers Hyderabad
Chennai Super Kings,Royal Challengers Bangalore,2,3,Chennai Super Kings
Chennai Super Kings,Royal Challengers Bangalore,3,2,Chennai Super Kings
Delhi Capitals,Royal Challengers Bangalore,1,2,Royal Challengers Bangalore
Delhi Capitals,Royal Challengers Bangalore,1,1,Delhi Capitals
Punjab Kings,Royal Challengers Bangalore,2,1,Punjab Kings
Kolkata Knight Riders,Royal Challengers Bangalore,1,2,Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,0,3,Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,3,2,Mumbai Indians
Rajasthan Royals,Royal Challengers Bangalore,1,3,Royal Challengers Bangalore
Sunrisers Hyderabad,Royal Challengers Bangalore,2,4,Royal Challengers Bangalore
Chennai Super Kings,Sunrisers Hyderabad,4,1,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,1,1,Delhi Capitals
Kolkata Knight Riders,Sunrisers Hyderabad,1,1,Kolkata Knight Riders
Mumbai Indians,Sunrisers Hyderabad,4,0,Mumbai Indians
Royal Challengers Bangalore,Sunrisers Hyderabad,3,1,Sunrisers Hyderabad
Punjab Kings,Delhi Capitals,2,2,Delhi Capitals
Punjab Kings,Delhi Capitals,3,2,Punjab Kings
Mumbai Indians,Delhi Capitals,4,2,Mumbai Indians
Royal Challengers Bangalore,Delhi Capitals,2,3,Delhi Capitals
Sunrisers Hyderabad,Delhi Capitals,1,3,Delhi Capitals
Sunrisers Hyderabad,Delhi Capitals,1,3,Delhi Capitals
Kolkata Knight Riders,Punjab Kings,2,3,Kolkata Knight Riders
Mumbai Indians,Punjab Kings,3,3,Punjab Kings
Mumbai Indians,Punjab Kings,4,2,Mumbai Indians
Royal Challengers Bangalore,Punjab Kings,3,2,Royal Challengers Bangalore
Royal Challengers Bangalore,Punjab Kings,3,1,Royal Challengers Bangalore
Delhi Capitals,Kolkata Knight Riders,4,2,Delhi Capitals
Delhi Capitals,Kolkata Knight Riders,4,3,Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,1,4,Kolkata Knight Riders
Royal Challengers Bangalore,Kolkata Knight Riders,2,4,Kolkata Knight Riders
Sunrisers Hyderabad,Kolkata Knight Riders,1,4,Kolkata Knight Riders
Sunrisers Hyderabad,Kolkata Knight Riders,2,4,Sunrisers Hyderabad
Delhi Capitals,Mumbai Indians,4,3,Delhi Capitals
Kolkata Knight Riders,Mumbai Indians,3,3,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,2,3,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,2,4,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,2,4,Mumbai Indians
Sunrisers Hyderabad,Mumbai Indians,2,4,Sunrisers Hyderabad
Delhi Capitals,Royal Challengers Bangalore,3,2,Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,1,2,Royal Challengers Bangalore
Sunrisers Hyderabad,Royal Challengers Bangalore,3,2,Sunrisers Hyderabad
Sunrisers Hyderabad,Royal Challengers Bangalore,4,2,Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,0,5,Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,0,5,Sunrisers Hyderabad
Kolkata Knight Riders,Sunrisers Hyderabad,1,4,Kolkata Knight Riders
Mumbai Indians,Sunrisers Hyderabad,3,4,Sunrisers Hyderabad
Royal Challengers Bangalore,Sunrisers Hyderabad,3,3,Royal Challengers Bangalore
Mumbai Indians,Delhi Capitals,3,2,Mumbai Indians
Mumbai Indians,Delhi Capitals,3,1,Mumbai Indians
Royal Challengers Bangalore,Delhi Capitals,3,1,Royal Challengers Bangalore
Royal Challengers Bangalore,Delhi Capitals,3,0,Royal Challengers Bangalore
Sunrisers Hyderabad,Delhi Capitals,2,1,Delhi Capitals
Sunrisers Hyderabad,Delhi Capitals,2,1,Sunrisers Hyderabad
Delhi Capitals,Punjab Kings,2,0,Delhi Capitals
Delhi Capitals,Punjab Kings,2,1,Punjab Kings
Royal Challengers Bangalore,Punjab Kings,3,2,Punjab Kings
Sunrisers Hyderabad,Punjab Kings,3,2,Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,3,2,Sunrisers Hyderabad
Delhi Capitals,Kolkata Knight Riders,2,2,Kolkata Knight Riders
Delhi Capitals,Kolkata Knight Riders,1,3,Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,3,3,Punjab Kings
Punjab Kings,Kolkata Knight Riders,2,4,Kolkata Knight Riders
Mumbai Indians,Kolkata Knight Riders,3,3,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,3,3,Kolkata Knight Riders
Sunrisers Hyderabad,Kolkata Knight Riders,3,3,Kolkata Knight Riders
Sunrisers Hyderabad,Kolkata Knight Riders,4,3,Sunrisers Hyderabad
Punjab Kings,Mumbai Indians,2,3,Punjab Kings
Punjab Kings,Mumbai Indians,2,4,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,2,4,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,2,4,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,2,4,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,1,5,Mumbai Indians
Sunrisers Hyderabad,Mumbai Indians,3,5,Mumbai Indians
Punjab Kings,Royal Challengers Bangalore,3,0,Punjab Kings
Kolkata Knight Riders,Royal Challengers Bangalore,2,0,Kolkata Knight Riders
Sunrisers Hyderabad,Royal Challengers Bangalore,3,0,Sunrisers Hyderabad
Kolkata Knight Riders,Sunrisers Hyderabad,2,2,Kolkata Knight Riders
Mumbai Indians,Sunrisers Hyderabad,4,3,Sunrisers Hyderabad
